一 P21'S01
丙 P21'S01'S03'S20'S04'S06
左 P36'S01'S04'S01'S03'S01
厉 P36'S01'S04'S01'S20'S04
右 P36'S01'S04'S03'S08'S01
石 P21'S01'S04'S03'S08'S01
布 P36'S01'S04'S03'S20'S03
龙 P21'S01'S04'S24'S04'S06
平 P21'S01'S06'S04'S01'S03
灭 P12'S01'S06'S04'S04'S05
轧 P01'S01'S14'S01'S03'S24
东 P21'S01'S14'S12'S04'S06
卡 P21'S03'S01'S01'S03'S06
北 P02'S03'S01'S02'S04'S24
占 P12'S03'S01'S03'S08'S01
业 P21'S03'S03'S06'S04'S01
旧 P02'S03'S03'S08'S01'S01
帅 P02'S03'S04'S03'S20'S03
归 P02'S03'S04'S08'S01'S01
且 P21'S03'S08'S01'S01'S01
旦 P11'S03'S08'S01'S01'S01
目 P21'S03'S08'S01'S01'S01
叶 P02'S03'S08'S01'S01'S03
甲 P21'S03'S08'S01'S01'S03
申 P21'S03'S08'S01'S01'S03
叮 P02'S03'S08'S01'S01'S12
电 P21'S03'S08'S01'S01'S24
号 P12'S03'S08'S01'S01'S29
田 P21'S03'S08'S01'S03'S01
由 P21'S03'S08'S01'S03'S01
史 P21'S03'S08'S01'S04'S05
只 P11'S03'S08'S01'S04'S05
央 P21'S03'S08'S01'S04'S05
兄 P12'S03'S08'S01'S04'S24
叼 P02'S03'S08'S01'S20'S02
叫 P02'S03'S08'S01'S13'S03
另 P12'S03'S08'S01'S20'S04
叨 P02'S03'S08'S01'S20'S04
叹 P02'S03'S08'S01'S09'S05
四 P21'S03'S08'S04'S11'S01
生 P21'S04'S01'S01'S03'S01
失 P21'S04'S01'S01'S04'S05
禾 P21'S04'S01'S03'S04'S05
丘 P21'S04'S03'S01'S03'S01
付 P02'S04'S03'S01'S12'S06
仗 P02'S04'S03'S01'S04'S05
代 P02'S04'S03'S01'S17'S06
仙 P02'S04'S03'S03'S11'S03
们 P02'S04'S03'S06'S03'S20
仪 P02'S04'S03'S06'S04'S05
白 P21'S04'S03'S08'S01'S01
仔 P02'S04'S03'S09'S12'S01
他 P02'S04'S03'S20'S03'S24
斥 P21'S04'S04'S01'S03'S06
瓜 P21'S04'S04'S13'S06'S05
乎 P21'S04'S06'S04'S01'S12
丛 P11'S04'S05'S04'S05'S01
令 P11'S04'S05'S06'S09'S06
用 P21'S04'S20'S01'S01'S03
甩 P21'S04'S20'S01'S01'S24
印 P02'S04'S13'S01'S20'S03
乐 P21'S04'S11'S12'S04'S06
句 P38'S04'S20'S03'S08'S01
匆 P21'S04'S20'S04'S04'S06
册 P21'S04'S20'S04'S20'S01
犯 P02'S04'S16'S04'S20'S24
外 P01'S04'S09'S06'S03'S06
处 P37'S04'S09'S05'S03'S06
冬 P11'S04'S09'S05'S06'S06
鸟 P21'S04'S20'S06'S29'S01
务 P11'S04'S09'S05'S20'S04
包 P21'S04'S20'S08'S01'S24
饥 P02'S04'S10'S13'S04'S27
主 P21'S06'S01'S01'S03'S01
市 P21'S06'S01'S03'S20'S03
立 P21'S06'S01'S06'S04'S01
闪 P32'S06'S03'S20'S04'S05
兰 P12'S06'S04'S01'S01'S01
半 P21'S06'S04'S01'S01'S03
汁 P02'S06'S06'S02'S01'S03
汇 P02'S06'S06'S02'S01'S11
头 P21'S06'S06'S01'S04'S06
汉 P02'S06'S06'S02'S09'S05
宁 P12'S06'S06'S10'S01'S12
穴 P12'S06'S06'S10'S04'S05
它 P12'S06'S06'S10'S04'S24
讨 P02'S06'S19'S01'S12'S06
写 P12'S06'S10'S01'S29'S01
让 P02'S06'S19'S03'S01'S01
礼 P01'S06'S09'S03'S06'S24
训 P02'S06'S19'S04'S03'S03
必 P21'S06'S24'S06'S06'S04
议 P02'S06'S19'S06'S04'S05
讯 P02'S06'S19'S21'S01'S03
记 P02'S06'S19'S08'S01'S24
永 P21'S06'S20'S09'S04'S05
司 P38'S20'S01'S03'S08'S01
尼 P36'S08'S01'S04'S04'S24
民 P21'S08'S01'S13'S01'S17
出 P21'S11'S03'S03'S11'S03
辽 P37'S09'S12'S06'S26'S05
奶 P02'S15'S04'S01'S30'S04
奴 P02'S15'S04'S01'S09'S05
加 P01'S20'S04'S03'S08'S01
召 P11'S20'S04'S03'S08'S01
皮 P21'S04'S10'S03'S09'S05
边 P37'S20'S04'S06'S26'S05
发 P21'S11'S04'S09'S05'S06
孕 P11'S30'S04'S09'S12'S01
圣 P11'S09'S05'S01'S03'S01
对 P02'S09'S05'S01'S12'S06
台 P11'S14'S06'S03'S08'S01
矛 P21'S09'S06'S10'S12'S04
纠 P02'S14'S14'S02'S13'S03
母 P21'S11'S20'S01'S06'S06
幼 P02'S14'S14'S06'S20'S04
丝 P11'S14'S14'S14'S14'S01
式 P38'S01'S17'S06'S01'S03'S01
刑 P01'S01'S01'S04'S03'S03'S12
动 P02'S01'S01'S14'S06'S20'S04
扛 P02'S01'S12'S02'S01'S03'S01
寺 P12'S01'S03'S01'S01'S12'S06
吉 P12'S01'S03'S01'S03'S08'S01
